description,label
Fake branded shoes with poor stitching and misspelled logo,1
Counterfeit handbag with wrong serial number and cheap leather,1
Imitation perfume bottle with spelling errors on the box,1
Duplicate sports jersey with faded colors and uneven logo,1
Knockoff headphones that feel flimsy and lack proper branding,1
Replica watch with incorrect date function and rough finish,1
Counterfeit sunglasses without UV protection and crooked frame,1
Fake mobile phone with outdated software and low-quality screen,1
Duplicate wallet with uneven stitching and fake hologram sticker,1
Knockoff sneakers with incorrect sole design and loose threads,1
